;Id;Context;Pronoun;Position;Candidate Antecedent;Answer
0;2007-ertms#0; ETCS shall provide the driver with information to allow him to drive the train safely.;10;10.0;[1, 2];2
1;2007-ertms#0; ETCS shall provide the driver with information to allow him to drive the train safely.;10;10.0;[4, 6];1
2;2007-ertms#0; ETCS shall provide the driver with information to allow him to drive the train safely.;10;10.0;[7, 8];2
3;2007-ertms#1b;ETCS shall be able to supervise train and shunting movements. If the supervision is performed by a RBC it shall be possible to prevent movements of a traction unit in its area if not authorised by the RBC.;31;31.0;[0, 1];0
4;2007-ertms#1b;ETCS shall be able to supervise train and shunting movements. If the supervision is performed by a RBC it shall be possible to prevent movements of a traction unit in its area if not authorised by the RBC.;31;31.0;[6, 10];0
5;2007-ertms#1b;ETCS shall be able to supervise train and shunting movements. If the supervision is performed by a RBC it shall be possible to prevent movements of a traction unit in its area if not authorised by the RBC.;31;31.0;[12, 14];0
6;2007-ertms#1b;ETCS shall be able to supervise train and shunting movements. If the supervision is performed by a RBC it shall be possible to prevent movements of a traction unit in its area if not authorised by the RBC.;31;31.0;[17, 19];0
7;2007-ertms#1b;ETCS shall be able to supervise train and shunting movements. If the supervision is performed by a RBC it shall be possible to prevent movements of a traction unit in its area if not authorised by the RBC.;31;31.0;[25, 26];0
8;2007-ertms#1b;ETCS shall be able to supervise train and shunting movements. If the supervision is performed by a RBC it shall be possible to prevent movements of a traction unit in its area if not authorised by the RBC.;31;31.0;[27, 30];0
9;2007-ertms#3;If the driver does not acknowledge after the transition the brake shall be applied. If the driver acknowledges afterwards, the brake can be released ETCS shall be compatible with existing national systems listed in the CCS TSI such that it does not interfere with the national systems and is not interfered with by the national systems.;41;41.0;[16, 18];0
10;2007-ertms#3;If the driver does not acknowledge after the transition the brake shall be applied. If the driver acknowledges afterwards, the brake can be released ETCS shall be compatible with existing national systems listed in the CCS TSI such that it does not interfere with the national systems and is not interfered with by the national systems.;41;41.0;[21, 23];0
11;2007-ertms#3;If the driver does not acknowledge after the transition the brake shall be applied. If the driver acknowledges afterwards, the brake can be released ETCS shall be compatible with existing national systems listed in the CCS TSI such that it does not interfere with the national systems and is not interfered with by the national systems.;41;41.0;[26, 27];0
12;2007-ertms#3;If the driver does not acknowledge after the transition the brake shall be applied. If the driver acknowledges afterwards, the brake can be released ETCS shall be compatible with existing national systems listed in the CCS TSI such that it does not interfere with the national systems and is not interfered with by the national systems.;41;41.0;[31, 34];0
13;2007-ertms#3;If the driver does not acknowledge after the transition the brake shall be applied. If the driver acknowledges afterwards, the brake can be released ETCS shall be compatible with existing national systems listed in the CCS TSI such that it does not interfere with the national systems and is not interfered with by the national systems.;41;41.0;[36, 39];0
14;2007-ertms#4;During the transition period between two operational states (including two different national operations) the supervision provided shall at least ensure the same protection provided by the least restrictive state. If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which it is equipped.;70;70.0;[5, 8];0
15;2007-ertms#4;During the transition period between two operational states (including two different national operations) the supervision provided shall at least ensure the same protection provided by the least restrictive state. If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which it is equipped.;70;70.0;[10, 14];0
