id;context;pronoun;position;antecedents;spans;schars
library#01;All material that is stored in the repository will enter it#1 via the Ingest function.;it#1;10;;[];[]
library#02;The library may want to accept important digital materials in non-standard formats in case we are able to migrate them#1 to a more usable format in the future.;them#1;21;important digital materials;[(31, 58)];[31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58]
library#03;Once material has arrived, it#1 must undergo several reviews, including virus checking, format compliance and anticipated content and file type.;it#1;5;material;[(5, 13)];[5, 6, 7, 8, 9, 10, 11, 12, 13]
library#04;Allows resources to be reviewed before a decision is made whether they#1 should be retained.;they#1;11;resources;[(7, 16)];[7, 8, 9, 10, 11, 12, 13, 14, 15, 16]
library#05;Allows metadata to be stored in a database in a manner that conforms to repository reformatting and linked to their#1 corresponding objects via an identifier.;their#1;19;metadata;[(7, 15)];[7, 8, 9, 10, 11, 12, 13, 14, 15]
library#06;The Coordinate Updates function also incorporates the storage identification information into the Descriptive Information for the AIP and transfers it#1 to the Data Management entity along with a database update request.;it#1;19;;[];[]
library#07;Archival Storage functions include receiving AIPs from Ingest and adding them#1 to permanent storage, managing the storage hierarchy, refreshing the media on which archive holdings are stored, performing routine and special error checking, providing disaster recovery capabilities, and providing AIPs to Access to fulfill orders.;them#1;10;AIPs;[(45, 49), (296, 300)];[45, 46, 47, 48, 49, 294, 295, 296, 297, 298]
library#10;However, the data constituting the Packaging Information may be changed as long as it#1 continues to perform the same function and there is a straightforward implementation that does not cause information loss.;it#1;14;;[];[]
library#11-a;The migration strategy must select a storage medium, taking into consideration the expected and actual rates of errors encountered in various media types, their performance, and their#1 costs of ownership.;their#1;29;;[];[]
library#11-b;The migration strategy must select a storage medium, taking into consideration the expected and actual rates of errors encountered in various media types, their performance, and their#1 costs of ownership.;their#1;29;;[];[]
library#12-a;This function receives an AIP request that identifies the requested AIP (s) and provides them on the requested media type or transfers them#1 to a staging area.;them#1;22;the requested AIP(s;[];[54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73]
library#12-b;This function receives an AIP request that identifies the requested AIP (s) and provides them on the requested media type or transfers them#1 to a staging area.;them#1;22;the requested AIP(s;[];[54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73]
library#13;The Generate Report function receives a report request from Ingest, Access or Administration and executes any queries or other processes necessary to generate the report that it#1 supplies to the requester.;it#1;27;;[];[]
library#15;Administration functions include soliciting and negotiating submission agreements with producers, auditing submissions to ensure that they#1 meet archive standards, and maintaining configuration management of system hardware and software.;they#1;16;;[];[]
library#16;Audits data in SIPs or AIPs to ensure that they#1 meet specified requirements.;they#1;9;;[];[]
library#17;The Activate Requests function maintains a record of event-driven requests and periodically compares it#1 to the contents of the archive to determine if all needed data is available.;it#1;15;;[];[]
library#18;Maintains a record of event-driven events and compares it#1 to the contents of the repository.;it#1;10;a record;[(10, 18)];[10, 11, 12, 13, 14, 15, 16, 17, 18]
library#19;The Monitor Designated Community function interacts with archive Consumers and Producers to track changes in their#1 service requirements and available product technologies.;their#1;15;archive Consumers and Producers;[(57, 88)];[57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88]
library#20;Interacts with repository users and content providers to track changes in their#1 service requirements and available product technologies.;their#1;11;;[];[]
library#21;This function receives reports from the Monitor Designated Communities and Monitor Technology functions, and it#1 receives performance information, inventory reports and summarized consumer comments from Administration.;it#1;15;This function;[(0, 13)];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
library#22;This function also receives external data standards from Monitor Technology and produces profiles of those standards that are sent to Administration as proposals on their#1 potential usage.;their#1;24;;[];[]
library#23;Produces profiles of those standards that are sent to Administration as proposals on their#1 potential usage.;their#1;13;;[];[]
library#24;NLM will test preservation actions in order to determine their#1 effectiveness across a range of digital objects.;their#1;9;;[];[]
library#25;NLM System Administration/Programming Access, ultimate rights to the system, required for its#1 management, development, and for assigning appropriate rights to users.;its#1;15;;[];[]
weather#01;The Clarus system shall process data as they#1 are received.;they#1;7;data;[(32, 36)];[32, 33, 34, 35, 36]
weather#02;The Clarus system shall be able to base its#1 quality control process on values from multiple observations.;its#1;8;The Clarus system;[(0, 17)];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]
weather#03;The Clarus system shall be able to communicate with RWIS databases through their#1 native interfaces.;their#1;12;RWIS databases;[(52, 66)];[52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66]
weather#04;The Clarus system shall be able to collect data from sources within 5 minutes of them#1 becoming available.;them#1;15;;[];[]
weather#05;The CAS shall be configurable to allow new observation types to be implemented as they#1 become available.;they#1;14;new observation types;[(39, 60)];[39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60]
weather#06;CS shall collect environmental data based on its#1 configured schedule.;its#1;7;;[];[]
weather#07;CS shall be able to dynamically adjust its#1 retrieval schedules when environmental data is expected to be ready but is temporarily delayed.;its#1;7;CS;[(0, 2)];[0, 1, 2]
weather#08;CS shall process environmental data as they#1 are received.;they#1;6;environmental data;[(17, 35)];[17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]
weather#09;The Clarus system shall be able to communicate with environmental sensor stations through its#1 collector using the NTCIP ESS 1204.;its#1;13;;[];[]
weather#10;CS shall be able to accept data from an RWIS database in its#1 native output format.;its#1;12;;[];[]
weather#11;The Clarus system shall be able to communicate with an individual ESS through its#1 native interface.;its#1;13;;[];[]
